R1 G1 B1 R2 G2 B2 R3 G3 B3 R4 G4 B4 labels
41.9317 78.6108 27.8008 89.3761 96.3939 22.3075 112.6806 88.9592 16.1319 151.3558 90.7750 4.7875 TC
124.0019 185.5108 59.1556 158.9250 183.8053 43.5264 177.2017 171.2283 27.7439 209.5292 160.9264 8.4250 TC
103.5464 162.5175 51.6361 144.1850 162.7144 31.9897 167.3328 157.5853 23.3947 206.9383 156.1928 9.9694 TC
96.5083 157.1369 44.2092 137.4994 155.7500 32.2572 171.2611 161.7906 24.4944 202.5044 152.8061 10.8250 TC
80.1356 139.7369 35.9825 130.7506 146.3028 27.5606 151.7636 138.8072 19.8864 189.6150 138.0492 12.7547 TC
60.6900 110.1347 31.3406 112.3294 123.4836 25.8389 141.4253 126.4278 15.9458 176.0869 122.0497 9.1589 TC
55.2517 101.2431 30.6425 89.9828 95.9719 23.1494 128.0261 110.6194 18.6028 164.4403 107.4847 5.2742 TC
42.6653 81.2747 29.0614 85.7531 94.3714 23.2833 105.3222 83.6228 15.8517 148.8572 90.5822 5.2522 TC
123.2669 185.0022 61.5969 156.9269 182.1558 43.0186 177.9878 172.4572 29.7314 211.2297 164.1839 13.4450 TC
107.9894 167.4514 52.8308 143.6278 162.2794 32.7067 166.5061 156.2792 22.3597 206.5386 155.2939 7.3106 TC
98.2592 159.3725 43.9547 135.3653 154.2514 32.1678 169.6431 159.7994 22.1064 202.2678 152.0858 10.3211 TC
79.2914 139.1067 35.4331 127.0436 142.9717 26.1792 150.6969 137.5083 18.8778 189.8653 137.1722 9.4347 TC
60.2511 109.9942 29.8397 111.9633 124.0128 24.6178 141.1214 126.5825 14.1158 177.1000 123.6464 9.2972 TC
55.5511 101.2944 29.7736 88.7875 95.3522 25.2522 124.2119 106.2150 14.1461 165.2528 107.4414 4.8208 TC
41.9339 79.6956 28.7439 85.3053 94.5014 24.1911 104.9061 83.7133 15.1108 148.3964 90.0611 4.9953 TC
123.0392 185.4019 63.4928 152.4925 178.7083 44.7075 170.0989 166.0225 30.8264 210.9847 164.3061 10.9569 TC
106.9111 166.8714 52.5206 144.0906 164.1236 34.8850 167.3067 157.3111 22.3244 203.7281 152.5692 5.6608 TC
97.9719 158.4353 44.4169 134.0556 152.8497 30.1797 166.6361 156.8333 20.6158 198.0236 147.1478 7.6406 TC
79.0119 136.3258 38.6189 124.3983 140.6439 29.7039 149.5878 135.4061 16.7283 186.4769 134.2542 12.4372 TC
58.2250 105.7800 32.1744 111.3819 122.6894 25.4453 140.7017 126.5722 15.0664 178.5203 123.4678 8.9753 TC
55.4392 100.4392 30.9719 89.6428 94.8631 21.6594 120.1353 100.7694 12.9561 161.9111 104.8681 6.5369 TC
42.3242 79.1428 28.2375 89.4006 97.9383 26.5414 112.2514 88.1136 14.1644 149.1147 90.6086 7.3656 TC
119.3114 179.6431 59.5428 156.9689 181.5333 45.3642 178.1322 172.2022 29.7072 211.3792 161.4283 9.6767 TC
107.6744 166.2167 54.2628 144.3311 161.8208 33.5614 168.2986 157.5403 22.7831 205.8678 153.4250 8.2917 TC
96.2414 155.1658 46.8142 136.0347 154.0733 30.1478 171.1589 161.7717 26.0783 200.4983 149.3831 8.6050 TC
78.4631 135.6881 36.1300 129.0358 144.0289 34.5981 148.4578 133.7200 17.2811 183.2742 132.1919 15.1967 TC
57.6122 103.6431 32.0358 101.9464 111.6086 25.4175 139.2733 123.9356 14.6114 173.3386 117.5931 8.0158 TC
53.1542 97.0347 30.0639 90.2536 94.6064 22.3375 124.9742 106.8047 16.6208 161.6817 104.5919 6.6047 TC
42.0606 78.6103 28.7939 88.3128 95.1850 23.3931 106.6044 83.4525 14.3711 145.6333 87.7072 6.0594 TC
121.5981 181.8786 63.9367 157.4208 182.0328 43.9211 176.2992 170.1050 26.6650 211.0558 161.8100 8.6564 TC
109.6169 168.8947 53.0153 144.5422 162.0844 32.2811 167.9814 157.0678 23.9914 205.8639 152.7617 5.9353 TC
95.5431 154.2025 43.0794 134.9797 152.0644 28.2561 165.8017 155.1036 22.9431 200.0825 148.7917 7.5761 TC
80.8069 137.9847 34.2775 124.8828 139.5669 28.2594 150.6186 136.0819 18.5900 186.2508 132.4758 9.6275 TC
59.0781 106.6636 29.2317 107.2747 116.8358 20.2214 142.4514 128.2950 16.2467 175.1650 119.8997 8.0278 TC
52.1781 94.4478 29.7211 87.7858 92.7092 21.8525 120.9308 100.9839 12.4981 160.4058 102.2494 5.0789 TC
42.5411 79.2108 26.2094 88.5586 95.2333 22.1628 106.8647 84.0364 13.6481 150.6658 92.1056 5.5108 TC
119.5089 179.0403 62.0425 156.3033 180.5186 43.4953 174.4894 168.0072 27.4342 211.4069 162.0450 10.5831 TC
109.0208 166.5736 54.1836 144.1647 161.1483 34.4994 169.1036 157.0450 24.2897 206.8364 154.2861 7.5706 TC
92.5647 149.8689 47.6819 132.8769 148.9703 30.8944 170.0031 158.4244 25.0611 198.6928 146.4061 7.2864 TC
78.2881 134.9411 37.6597 128.1750 141.4942 31.2494 150.2147 135.5278 21.3097 188.0608 132.0850 6.0472 TC
58.0869 103.8389 30.6150 107.7119 117.0961 22.4736 143.0761 127.1547 14.8514 178.0953 121.9267 7.4608 TC
54.0375 97.2697 28.3483 88.4828 92.1744 20.8739 129.2611 109.1908 13.7656 161.0622 102.3578 4.7758 TC
41.4825 78.3053 28.6903 86.6142 93.6956 21.7881 110.4364 86.7336 13.8639 152.1367 91.9711 5.5311 TC
112.8022 171.6658 52.9819 137.4422 160.4239 40.4072 147.7197 141.1731 26.6047 176.6381 130.4331 10.8697 OTC
78.8294 135.6583 42.7364 116.1736 134.4975 31.7469 133.0775 122.9783 25.5986 168.8019 119.4442 9.0072 OTC
65.2306 119.0031 39.7947 105.2564 120.9178 29.2772 129.0114 118.5214 23.6314 162.5472 114.3525 10.6678 OTC
47.7336 90.1747 33.5036 90.5689 101.7589 25.9950 111.3906 97.6428 25.0636 151.7006 100.0797 10.8867 OTC
40.4464 78.5358 25.9536 71.4222 75.6297 22.6100 96.6606 81.0781 19.9508 140.6783 86.8517 8.5247 OTC
32.0214 61.7814 27.4467 64.0144 65.8928 18.0000 82.7925 62.2517 14.7500 129.1647 73.9494 6.5686 OTC
24.9506 45.3742 25.8361 54.7522 52.2817 19.8128 77.2936 57.2214 12.4911 124.8783 67.8319 5.0944 OTC
110.3350 169.6006 54.6069 133.3778 156.6108 37.7331 147.2989 141.3358 26.0231 177.6928 131.9322 11.6747 OTC
81.7178 138.6000 44.9481 115.6578 134.4633 30.1833 132.5844 122.1756 22.5481 168.9917 119.8047 9.1978 OTC
67.5142 122.7233 36.1575 105.4181 121.2567 28.3608 129.3544 117.8556 21.5903 160.2175 112.1428 12.4456 OTC
52.2117 97.2469 31.2967 90.6814 102.6825 27.5633 111.9083 96.3153 19.9953 150.1819 100.2064 13.4356 OTC
41.9569 78.6742 28.0617 72.1906 75.3478 21.1919 94.3631 77.0558 14.6775 136.8567 83.8944 8.5578 OTC
33.2269 61.9983 25.7872 64.6997 65.9181 20.9583 81.8900 60.8067 13.8917 128.1253 73.5958 7.6975 OTC
24.6236 43.5156 25.5519 51.5658 50.2017 25.9003 76.1408 56.5528 12.9575 122.3892 66.9069 7.0111 OTC
109.0289 168.9261 49.4211 133.9411 157.0669 35.0886 149.7556 143.4042 23.2364 177.3711 131.2836 10.2092 OTC
78.9611 136.5642 40.9975 116.0058 134.2000 29.1636 130.1392 119.1331 19.8100 166.3900 115.9839 7.3367 OTC
69.4303 124.1056 35.7669 102.5125 116.9164 26.0331 129.7000 117.3192 22.0964 163.4011 114.3061 12.6944 OTC
48.8611 90.2231 31.0431 87.2536 96.7956 21.8844 107.1936 90.4917 17.6425 149.1803 96.5936 9.6631 OTC
42.6233 79.0517 28.2661 71.0492 74.4494 23.4700 98.0653 79.1283 15.1492 135.2875 82.7475 10.5611 OTC
32.0311 60.0211 28.2453 64.2819 64.9161 20.4931 74.2675 54.2919 14.1431 126.9078 70.9831 6.4067 OTC
25.2683 44.1386 25.6222 53.3558 50.2914 20.6400 75.6661 54.8983 11.4764 122.9028 66.5103 8.5608 OTC
108.4528 166.5239 51.3064 134.7322 157.4706 38.3817 149.7275 142.2800 26.8392 175.7322 127.9644 10.2425 OTC
75.6475 131.6042 42.2069 115.1575 132.6786 30.8442 128.8431 117.4967 20.2650 168.6119 116.8503 7.7403 OTC
69.9883 124.4869 37.3181 96.5697 110.9494 25.3978 130.2992 118.5122 22.8861 162.3733 112.3344 9.7314 OTC
49.4369 91.9208 29.9858 88.0233 97.5336 22.5547 111.2658 95.1378 18.3092 149.5336 96.9514 9.8319 OTC
40.7242 76.8211 26.9756 73.2553 76.3594 20.2183 98.9817 81.3417 17.0281 133.5406 79.9367 6.9028 OTC
33.2208 62.4167 29.5261 63.7603 64.9772 17.1847 84.5019 63.1567 15.5261 126.3958 72.2097 6.2803 OTC
24.3622 43.0453 25.5031 50.6019 48.3147 18.9519 77.1006 57.0569 13.3836 120.6253 65.0283 5.6503 OTC
112.9178 172.4172 54.6392 136.5672 158.9244 41.4022 147.7094 140.9714 28.4656 175.2608 128.0344 9.6722 OTC
81.1219 136.6997 43.9467 120.5778 138.7144 35.3453 131.1764 119.9828 21.7758 170.1144 119.9597 9.8283 OTC
72.7192 128.5594 40.7483 108.4553 123.5031 28.6583 129.8978 117.4533 20.7089 165.2461 115.4747 11.0539 OTC
48.2128 91.0253 33.0233 89.0514 99.4533 25.4047 110.2961 94.6236 18.8861 144.1933 93.2294 9.6061 OTC
44.2075 82.8406 30.6111 73.3150 77.8647 20.8133 96.4864 79.7961 17.2892 140.7092 86.3825 7.8231 OTC
31.9431 61.3442 30.4019 63.0675 63.7889 17.6853 82.2706 60.1294 12.6392 126.6186 71.2989 5.5706 OTC
25.1303 45.4756 26.9775 53.6706 51.1550 18.5872 75.9211 56.6356 12.9097 126.4525 69.4558 5.0900 OTC
112.7294 172.5917 56.3147 138.2806 160.9908 45.7783 150.3933 142.3058 26.7744 177.4711 130.3403 11.5828 OTC
80.5936 137.2772 44.5550 118.9678 137.3028 33.9469 130.6233 119.1717 22.6556 166.2358 115.2203 7.1181 OTC
70.5403 125.4419 39.8950 108.2744 124.5953 30.3772 129.8003 118.0831 23.6136 165.6525 116.5347 11.1208 OTC
50.7400 94.2714 31.8489 85.9400 96.7394 23.0975 111.6292 96.9628 22.8839 149.0392 97.3381 10.1106 OTC
42.6894 80.1506 29.4731 74.5864 77.7939 18.8014 96.5197 80.1628 17.8633 139.6464 85.6439 6.4064 OTC
32.9339 62.6117 30.3708 66.3781 67.5733 17.7881 84.9825 64.2772 16.5797 127.5136 72.0108 5.9625 OTC
25.3667 45.6664 26.4081 54.2286 51.4997 17.5361 78.2403 57.5883 12.8842 125.3903 68.0850 4.0917 OTC
110.9506 169.6472 54.5822 133.8481 155.8606 41.0222 146.8558 140.1189 27.1658 172.4553 125.1333 9.9361 OTC
78.8664 133.5669 44.7039 120.7831 138.0633 35.5783 129.8944 118.0617 22.1831 165.0036 113.3972 7.4500 OTC
71.7939 127.0089 40.1925 108.1286 122.5031 29.9547 128.3775 116.1900 20.7083 163.8319 114.0689 10.5989 OTC
51.7636 93.1081 36.0833 86.6725 96.2528 22.5144 111.8264 95.2361 18.0800 141.9044 90.7106 9.0625 OTC
45.1678 81.8814 31.5619 70.3131 72.5222 17.9917 96.7300 79.3456 19.1289 139.6650 84.4906 6.8319 OTC
33.7597 62.2233 30.0997 65.3575 65.6014 17.6875 81.6575 59.5222 14.3314 127.0792 70.7664 5.6853 OTC
25.2664 44.4933 23.7094 52.0564 47.8194 15.6447 77.8239 56.4536 12.5222 124.5883 66.6208 4.1903 OTC
111.1436 169.7556 52.9656 136.1569 159.1461 41.9403 147.5897 140.2317 23.9858 172.9247 125.5014 9.4683 OTC
77.8917 134.0981 42.7825 114.6328 132.8714 31.1164 133.4669 123.3611 25.5044 167.2978 116.6922 7.5400 OTC
68.6511 123.4292 36.4825 101.0292 116.5842 26.5750 129.5222 117.2739 22.8028 160.9367 111.1725 8.2744 OTC
52.9536 97.3133 31.7019 88.2061 98.2639 22.8103 113.1800 97.8986 19.0839 150.7050 98.2189 9.5317 OTC
42.1450 79.7775 26.1175 70.9639 74.0533 18.0694 99.2008 81.7103 16.6394 137.9000 83.4547 6.6017 OTC
32.6331 61.9186 29.1242 64.5281 65.0667 17.3783 82.8775 60.5606 11.8133 130.4131 74.0194 6.3733 OTC
23.6225 42.7472 32.6672 50.1683 48.1878 18.7781 76.4114 55.9800 12.6478 125.1531 68.1831 5.4239 OTC
112.1706 170.8911 55.3906 133.0517 155.1306 43.0769 150.8372 142.8156 26.4664 177.7906 129.9347 10.5681 OTC
83.6514 140.3739 47.9281 121.6011 138.6436 34.6544 135.7389 125.3408 30.4311 171.9367 121.3897 9.7786 OTC
67.5567 122.4011 37.0675 108.7997 123.9600 29.6267 132.2283 120.4808 25.1569 165.6669 115.3972 10.3442 OTC
53.0414 98.3833 32.3147 91.7489 101.9567 24.6067 113.7825 98.2592 20.4631 155.6797 103.6883 11.0622 OTC
40.8867 77.5908 28.9428 71.0358 74.8883 22.4706 96.1608 80.2778 20.0333 136.2589 82.6147 8.7808 OTC
32.7689 62.1825 24.2914 66.6572 67.0314 18.1364 83.5822 62.3947 15.5089 131.9536 75.4683 5.9575 OTC
23.9819 44.1242 31.0675 53.8914 50.9986 18.1808 79.0681 58.6597 14.7064 122.6214 66.1894 5.2428 OTC
107.2006 164.7842 52.2625 134.0867 156.6644 41.0375 149.4753 142.6422 26.8006 173.1103 125.8297 9.9867 OTC
77.6836 133.9275 45.0464 119.8583 137.7664 34.6469 128.7353 118.0300 22.2228 169.9364 120.9625 10.6631 OTC
66.5783 119.9739 36.0925 107.2464 123.0000 29.2617 129.7922 118.3853 24.7097 164.1158 114.7564 10.6672 OTC
48.6894 89.2294 33.2958 87.7556 97.3167 24.8167 111.3678 95.4081 19.6375 141.1861 90.3933 9.6211 OTC
41.8869 79.0222 27.4183 74.8353 78.9122 22.4542 98.2569 80.2611 17.8942 141.3019 87.0569 7.4433 OTC
32.1561 60.5206 29.2644 62.8272 62.8867 18.0161 83.0722 62.0967 15.5636 123.8686 68.5544 5.7789 OTC
25.1414 44.4533 26.6167 53.1067 49.3639 17.8542 75.9767 55.1675 12.7856 126.0806 67.8414 4.7494 OTC
125.2028 187.4764 63.1906 143.4075 168.9944 47.1025 157.9142 155.8744 32.9331 185.8022 142.2942 19.6972 CTC
105.6256 164.2575 53.6731 140.5097 160.8772 36.5131 158.1350 151.0317 30.4428 187.1975 138.8397 8.3164 CTC
89.3419 146.2122 40.6778 130.6953 148.4350 33.8444 148.3036 137.7172 22.6192 182.9122 136.1067 13.3314 CTC
76.4556 130.4919 34.9894 114.0286 125.6375 27.2586 137.0550 122.7439 19.1083 175.7856 125.7392 9.2381 CTC
61.6447 107.1100 27.0578 100.1258 109.9403 23.5894 124.6819 106.6247 14.9164 160.7978 108.8914 9.3872 CTC
54.2353 94.1631 26.1681 84.2044 87.8767 18.6378 112.7214 92.3614 12.2256 148.2275 92.4911 5.2272 CTC
41.4739 70.8950 23.0492 74.2414 76.1642 22.1736 99.1142 76.6778 11.6783 140.0247 85.8742 8.0633 CTC
123.2439 183.6553 62.1094 138.7008 162.8022 45.3422 155.0872 151.9669 33.4006 179.5806 132.5536 12.5717 CTC
106.9231 164.2208 52.9992 137.8303 157.1614 36.4453 154.5892 145.5411 26.0272 186.3253 136.8417 8.9797 CTC
91.2931 148.0331 42.3311 123.8228 141.4281 30.1667 146.6542 135.5478 23.2672 182.8008 133.6769 8.0211 CTC
73.1722 126.6508 34.8564 110.0158 121.5464 24.3164 134.7169 119.2736 17.4275 173.8222 123.0694 8.4783 CTC
60.6664 105.9497 27.9347 94.0742 103.1714 19.1778 123.0083 104.9906 16.5594 157.6094 103.0908 4.8250 CTC
53.1631 92.4583 25.9053 82.7794 86.0028 17.0603 109.7803 90.0108 12.5472 147.4411 91.5717 4.3969 CTC
39.3869 68.1333 21.5561 67.6681 67.7061 16.0989 98.7314 76.0586 11.1517 134.4806 79.0339 3.9444 CTC
126.0450 188.3556 63.6500 140.3367 165.6092 44.8256 158.0042 155.1567 31.5603 186.4325 140.5319 13.6439 CTC
107.7697 166.3256 54.0017 139.6817 159.4103 37.2467 158.4039 150.0589 29.4539 189.2008 140.2072 9.6575 CTC
91.2792 147.4364 43.3233 130.0114 147.4803 32.2936 148.3447 138.1578 27.1603 185.2733 136.5789 10.7881 CTC
76.2394 129.7497 35.0536 114.7619 126.3000 27.5828 135.9814 121.6236 19.8339 177.3903 126.0725 8.4169 CTC
61.0911 105.5733 27.6700 98.7736 107.5306 21.1811 124.5247 106.6519 19.5589 161.2636 107.7894 7.2833 CTC
51.5958 89.9322 26.3083 85.3739 89.1675 18.9617 113.2047 92.2075 14.0442 150.1697 93.6075 5.1564 CTC
41.5867 70.5044 26.5503 72.5592 73.3281 17.8392 100.1286 78.0672 15.4050 140.6153 84.4753 5.4831 CTC
126.2572 185.8344 64.4014 141.7967 165.0600 45.4172 156.4456 152.8697 30.8656 183.9722 137.9119 16.0944 CTC
104.1206 160.5872 52.5033 137.4622 156.0953 34.9289 155.5969 146.4836 25.0331 185.1722 135.2014 7.4128 CTC
90.7475 147.4506 41.7936 129.9094 147.1411 31.4131 149.3250 137.5558 21.4156 183.3172 133.6547 8.7786 CTC
73.2692 124.9689 34.4311 111.6969 122.2825 24.1511 134.9997 118.8500 16.8706 175.4106 124.2989 9.5547 CTC
58.5122 101.9706 26.0708 97.8231 106.0106 19.7147 124.4119 104.8164 13.2856 161.0750 105.8453 5.3919 CTC
49.5736 87.6964 23.9172 84.3772 87.2525 17.6592 111.4247 90.2722 12.6658 149.1222 93.9203 7.5864 CTC
37.8703 65.9117 21.9000 69.7522 69.6750 16.7711 97.2914 74.1747 11.7225 137.5931 80.9119 5.7481 CTC
124.0044 185.9564 62.2561 139.8011 164.2111 46.3908 156.7108 153.5611 30.3503 185.8428 140.7569 14.9928 CTC
98.0028 155.1989 52.9664 138.7658 158.5633 37.0578 156.2647 148.2925 26.9253 186.4806 138.6003 12.2750 CTC
86.2469 143.9008 40.2514 129.6928 147.7153 31.8250 148.3283 137.1706 23.9275 184.4406 137.0028 12.1828 CTC
73.9328 128.7675 35.0414 111.3633 123.7747 26.5767 132.9403 118.4161 16.0058 174.8925 126.0100 11.6144 CTC
58.4311 104.6344 25.8278 96.1742 106.6981 21.0003 121.4053 104.1436 17.7739 159.9322 107.0128 7.2100 CTC
47.0100 83.8706 27.3414 79.1989 82.7389 17.9208 109.7278 89.1167 13.1747 148.0719 91.9181 4.5269 CTC
38.2622 66.8233 23.0247 67.9139 69.5494 16.2125 96.5500 74.6492 13.7231 138.9853 81.7881 4.9136 CTC
124.8636 187.5569 62.8369 133.5769 159.0172 47.2669 157.0281 154.4075 31.8214 179.2011 134.6172 13.6878 CTC
106.5292 166.0236 55.8922 139.3025 159.6106 38.4586 156.6183 149.8547 32.4033 186.5503 138.4031 8.8172 CTC
88.8803 146.9883 44.0844 130.5617 149.5614 35.7978 146.7036 137.1572 24.3000 183.9336 136.9481 11.1839 CTC
75.1422 130.4197 37.2944 112.9456 126.4633 27.7981 134.9203 122.2467 23.6242 175.2319 126.4389 9.7964 CTC
60.1450 105.3228 28.1867 99.0942 109.9697 23.2889 122.4528 105.9250 18.3783 158.3100 106.6853 7.2075 CTC
52.9261 93.8078 29.3664 85.4919 89.8289 21.2386 111.3228 93.4819 17.6919 148.8575 94.1364 4.5575 CTC
39.5253 68.3797 25.5497 70.4533 73.4067 20.2103 98.6994 77.6769 14.4408 137.6681 83.0903 5.2561 CTC
124.3567 184.9878 64.3297 140.6833 164.9394 46.9939 159.6833 156.2483 33.2428 187.7017 141.3322 13.5228 CTC
101.6439 159.4025 53.7439 135.7711 155.2467 33.4961 156.3467 148.1503 25.8703 186.7197 137.0561 7.6511 CTC
88.9861 147.0814 40.5764 127.8308 146.4619 29.7169 145.3994 136.7650 26.5019 183.5392 136.2594 9.5336 CTC
70.9497 125.1542 31.9586 106.1156 119.1186 22.2078 130.3794 117.4592 18.6833 171.7536 121.5514 6.9792 CTC
59.0719 104.9178 24.4833 94.4142 104.9553 19.0689 120.0778 103.5978 15.9989 158.4633 105.7233 5.7456 CTC
47.3822 86.2547 25.4417 79.8689 84.7100 18.4200 107.7778 89.4492 14.3558 146.4397 90.9567 3.8481 CTC
35.8483 65.0633 20.8500 67.8736 70.0536 18.7842 94.6589 73.7903 10.4969 140.0933 83.7936 4.9389 CTC
115.7831 174.8256 54.9089 138.2486 160.5003 39.9494 152.6264 146.6903 25.6722 185.6964 136.8278 11.4058 CTC
102.7125 159.8850 48.0322 136.1033 154.6186 32.2028 156.8592 147.3889 24.2847 189.0400 137.8031 8.4361 CTC
81.1697 136.8903 38.6217 127.2472 143.9947 28.8939 146.8819 134.7694 20.5378 183.5028 133.8256 10.9206 CTC
68.2347 120.0506 32.7781 110.0694 121.2742 23.1119 131.1169 115.2119 14.9619 176.3397 126.0303 10.5069 CTC
58.8900 103.0906 23.8206 95.5019 104.1081 18.6172 123.9719 104.5761 14.5000 162.7764 107.6847 6.2117 CTC
48.9489 86.5186 23.6508 81.5811 84.4581 18.1653 108.7419 86.6978 11.7472 148.6022 91.5819 5.4633 CTC
37.2950 64.9419 21.9511 71.8014 71.2397 17.8439 96.9606 72.6758 10.5900 140.8703 81.9906 4.1689 CTC
125.9383 187.4072 63.8892 141.5842 166.2017 43.1358 157.8258 154.4083 29.0594 183.4972 136.0856 10.7733 CTC
101.9967 159.2264 49.8022 136.0367 154.8167 33.3361 152.5347 143.6736 22.3519 186.4117 135.5933 6.0450 CTC
88.9492 146.0297 39.3236 125.6847 142.7164 27.0458 148.5031 136.8833 20.2344 182.6342 133.2411 9.5194 CTC
69.0597 120.9250 32.2650 113.1808 125.2656 25.4297 133.2647 117.2111 14.3636 175.1969 123.3667 6.8706 CTC
59.6403 104.3306 24.2631 94.8764 103.9289 18.4769 119.3267 100.4936 11.9864 158.1131 103.8456 5.7981 CTC
49.1769 87.8614 23.4103 82.4789 86.6278 20.3769 110.7600 89.2089 11.5186 149.7531 93.3108 5.6628 CTC
37.7200 65.7222 20.7519 68.4608 69.6058 17.4617 93.0308 69.9714 9.4717 135.5067 78.2811 5.1592 CTC
121.1567 181.6014 58.5214 142.7564 165.7186 43.1844 156.4892 152.7492 28.8972 186.9664 140.0317 11.8917 CTC
100.3475 157.4633 48.8442 137.0297 156.1703 34.3019 155.0331 145.7775 23.4914 186.8231 137.6986 8.8558 CTC
85.4689 141.4961 39.9725 121.1086 139.6611 28.0489 147.7825 136.9686 21.6153 183.3550 134.2756 7.8994 CTC
70.0606 122.1614 33.1081 110.7139 123.4047 23.8458 133.1294 118.5542 15.5328 174.4703 124.5469 8.9753 CTC
54.1669 98.3808 28.1219 96.3028 106.2703 20.1794 115.4375 98.2261 15.2353 156.8439 105.3858 8.8914 CTC
46.1078 83.6436 24.9989 81.0019 85.2139 17.3853 107.8714 88.3500 12.1122 147.8550 93.1797 5.2200 CTC
34.1200 61.3133 24.1878 65.1786 67.0075 18.9192 92.7831 71.5939 12.2264 134.0850 79.6089 6.2286 CTC
103.5231 143.4722 65.5614 147.4750 153.5914 57.3692 183.0994 161.3497 52.0028 220.1842 165.1400 38.2281 CTC
121.3633 165.7169 73.4719 154.7144 166.5528 62.9239 186.6644 171.6369 53.2125 223.7775 171.8486 41.5933 OTC
90.1478 130.9364 55.2958 136.6194 135.3831 49.6275 163.6272 138.6869 42.6153 203.7458 145.1531 32.7233 TC
88.6886 129.7325 59.2267 137.2033 143.5789 49.8825 168.7839 148.3017 45.2903 206.2311 151.3731 33.3383 CTC
106.8114 152.9697 64.5333 145.3233 156.5864 55.5153 173.5025 158.0922 48.6503 214.6928 160.9072 38.1267 OTC
79.4200 118.6900 50.6000 125.2025 122.3264 44.4106 152.0967 123.3383 40.1186 192.4106 132.5211 31.1031 TC
102.8660 139.8425 60.3685 139.5746 146.5319 50.0334 168.9928 150.8018 51.0677 201.2102 149.8800 37.5498 CTC
124.4242 161.7798 68.7668 153.5363 162.8259 58.5067 173.2876 161.4431 52.7178 209.7684 160.0866 42.8964 OTC
